pair_index,source,quantized_model,base_model,method,task,contains_disclosed_probe_cell,excluded_or_skipped,reason,n,correctness_column,baseline_accuracy,method_accuracy,net_accuracy_delta,harmful_flip_rate,beneficial_flip_rate,accuracy_state_churn,total_answer_churn,mcnemar_p,tost_equivalent,mdd_80_power,required_n_for_observed_delta_80_power,prompt_pass_rate,run_base_timestamp,run_quantized_timestamp,run_fallback_used
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_medicine_5,False,True,no parquet found for task harness_hendrycksTest_college_medicine_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_college_physics_5,False,True,no parquet found for task harness_hendrycksTest_college_physics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_computer_security_5,False,True,no parquet found for task harness_hendrycksTest_computer_security_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_conceptual_physics_5,False,True,no parquet found for task harness_hendrycksTest_conceptual_physics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_econometrics_5,False,True,no parquet found for task harness_hendrycksTest_econometrics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_electrical_engineering_5,False,True,no parquet found for task harness_hendrycksTest_electrical_engineering_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_elementary_mathematics_5,False,True,no parquet found for task harness_hendrycksTest_elementary_mathematics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_formal_logic_5,False,True,no parquet found for task harness_hendrycksTest_formal_logic_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_global_facts_5,False,True,no parquet found for task harness_hendrycksTest_global_facts_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_biology_5,False,True,no parquet found for task harness_hendrycksTest_high_school_biology_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_chemistry_5,False,True,no parquet found for task harness_hendrycksTest_high_school_chemistry_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_computer_science_5,False,True,no parquet found for task harness_hendrycksTest_high_school_computer_science_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_european_history_5,False,True,no parquet found for task harness_hendrycksTest_high_school_european_history_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_geography_5,False,True,no parquet found for task harness_hendrycksTest_high_school_geography_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_government_and_politics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_government_and_politics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_macroeconomics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_macroeconomics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_mathematics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_mathematics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_microeconomics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_microeconomics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_physics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_physics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_psychology_5,False,True,no parquet found for task harness_hendrycksTest_high_school_psychology_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_statistics_5,False,True,no parquet found for task harness_hendrycksTest_high_school_statistics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_us_history_5,False,True,no parquet found for task harness_hendrycksTest_high_school_us_history_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_high_school_world_history_5,False,True,no parquet found for task harness_hendrycksTest_high_school_world_history_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_human_aging_5,False,True,no parquet found for task harness_hendrycksTest_human_aging_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_human_sexuality_5,False,True,no parquet found for task harness_hendrycksTest_human_sexuality_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_international_law_5,False,True,no parquet found for task harness_hendrycksTest_international_law_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_jurisprudence_5,False,True,no parquet found for task harness_hendrycksTest_jurisprudence_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_logical_fallacies_5,False,True,no parquet found for task harness_hendrycksTest_logical_fallacies_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_machine_learning_5,False,True,no parquet found for task harness_hendrycksTest_machine_learning_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_management_5,False,True,no parquet found for task harness_hendrycksTest_management_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_marketing_5,False,True,no parquet found for task harness_hendrycksTest_marketing_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_medical_genetics_5,False,True,no parquet found for task harness_hendrycksTest_medical_genetics_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_miscellaneous_5,False,True,no parquet found for task harness_hendrycksTest_miscellaneous_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_moral_disputes_5,False,True,no parquet found for task harness_hendrycksTest_moral_disputes_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_moral_scenarios_5,False,True,no parquet found for task harness_hendrycksTest_moral_scenarios_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_nutrition_5,False,True,no parquet found for task harness_hendrycksTest_nutrition_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_philosophy_5,False,True,no parquet found for task harness_hendrycksTest_philosophy_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_prehistory_5,False,True,no parquet found for task harness_hendrycksTest_prehistory_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_professional_accounting_5,False,True,no parquet found for task harness_hendrycksTest_professional_accounting_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_professional_law_5,False,True,no parquet found for task harness_hendrycksTest_professional_law_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_professional_medicine_5,False,True,no parquet found for task harness_hendrycksTest_professional_medicine_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_professional_psychology_5,False,True,no parquet found for task harness_hendrycksTest_professional_psychology_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_public_relations_5,False,True,no parquet found for task harness_hendrycksTest_public_relations_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_security_studies_5,False,True,no parquet found for task harness_hendrycksTest_security_studies_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_sociology_5,False,True,no parquet found for task harness_hendrycksTest_sociology_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
9,S1,TheBloke/Genz-70b-GPTQ,budecosystem/genz-70b,GPTQ,harness_hendrycksTest_us_foreign_policy_5,False,True,no parquet found for task harness_hendrycksTest_us_foreign_policy_5 in runs ['2023_10_23T19_01_32.642131'],,,,,,,,,,,,,,,2023_10_23T19_01_32.642131,2023_08_31T00_30_34.342002,False
