claim_id,frame,source_name,source_url,source_version_or_date,exact_quote,benchmarks,reported_n,baseline_accuracy_reported,delta_reported,per_item_outputs_released,statistical_test_or_interval_reported,source_sha256,quote_verification,extraction_notes
P10,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8 (model card),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-quantized.w8a8,"HF README.md, fetched 2026-07-15","""100.3% for OpenLLM v1 (using Meta's prompting when available)""",OpenLLM v1 average (same 7 tasks as P09),not stated; imputed via standard task sizes,"74.1 (Meta-Llama-3.1-8B-Instruct, OpenLLM v1 average)",+0.2 pp (w8a8: 74.3 vs baseline: 74.1; stated recovery 100.3%),"Partial - per-item outputs released as HF datasets for Arena-Hard, OpenLLM v2, and HumanEval, but NOT for OpenLLM v1",No,e9eeb7710ca0c4e50222cac390a9b4a611e03b5556746ab447f76f254a658132,raw-verified (curl raw README.md),"All five headline recovery numbers on this card (Arena-Hard 105.4%, OpenLLM v1 100.3%, OpenLLM v2 101.5%, HumanEval 99.7%, HumanEval+ 98.8%) individually clear the X>=98 trigger -- the strongest of the sampled RedHatAI cards."
P11,F2,RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8 (model card),https://huggingface.co/RedHatAI/Meta-Llama-3.1-8B-Instruct-FP8,"HF README.md, fetched 2026-07-15","""achieves an average score of 73.44 on the OpenLLM benchmark""","OpenLLM v1 average: MMLU, MMLU-cot, ARC-Challenge, GSM-8K-cot, HellaSwag, Winogrande, TruthfulQA",not stated; imputed via standard task sizes,"73.79 (Meta-Llama-3.1-8B-Instruct, unquantized)",-0.35 pp (FP8: 73.44 vs unquantized: 73.79; table caption gives Recovery: 99.52%),No (no linked per-item outputs dataset found on this card),No,238efcee95e8ef40514f20cab179fcf6cc8c22ec2a45634866fe8a9dd6be4fd6,raw-verified (curl raw README.md),"Borderline inclusion call: the prose sentence itself ('achieves an average score of 73.44 ... whereas the unquantized model achieves 73.79') does not use a trigger word (no 'negligible'/'near-lossless'); it only reports two numbers. Included because the accompanying table explicitly labels the ratio column 'Recovery' = 99.52%, which is a table-caption-level framing satisfying the 'X% recovery >=98' trigger per the inclusion rule's allowance for prose OR table caption."
P12,F2,RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16 (model card),https://huggingface.co/RedHatAI/Qwen2.5-7B-Instruct-quantized.w4a16,"HF README.md, fetched 2026-07-15","""Average"" recovery table caption, value ""98.6%""","Average: MMLU (5-shot), ARC-Challenge (25-shot), GSM-8K (5-shot, strict-match), HellaSwag (10-shot), Winogrande (5-shot), TruthfulQA (0-shot, mc2)",not stated; imputed via standard task sizes,"73.16 (Qwen2.5-7B-Instruct, average of 6 tasks)",-0.47 pp (w4a16: 72.69 vs baseline: 73.16; recovery 98.6%),No (no linked per-item outputs dataset found on this card),No,3da1c99b75165a84818ea56fe697a48a7335af5af11a2c4731c9635c5f684574,raw-verified (curl raw README.md),"Card has no equivalence-framing prose sentence outside the table itself; inclusion rests entirely on the table's 'Recovery' column/caption (98.6%), which is the same table-caption basis used for P11. Individual MMLU(5-shot) row recovery is also 98.6%."
P13,F2,RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16 (model card),https://huggingface.co/RedHatAI/Meta-Llama-3.1-70B-Instruct-quantized.w4a16,"HF README.md, fetched 2026-07-15","""99.4% for OpenLLM v1 (using Meta's prompting when available)""",OpenLLM v1 average (same 7 tasks as P09/P10),not stated; imputed via standard task sizes,"84.50 (Meta-Llama-3.1-70B-Instruct, OpenLLM v1 average)",-0.52 pp (w4a16: 83.98 vs baseline: 84.50; recovery 99.4%),"Partial - per-item outputs referenced for Arena-Hard/OpenLLM v2/HumanEval elsewhere on the card, not for OpenLLM v1",No,f05904e45811cc591ca9b1d7b0f663322a24ae0a8d413d218913b8fa6a6b1af3,raw-verified (curl raw README.md),"Added to broaden F2 model-size coverage beyond the 8B scale (P09/P10/P11). Same card family/template as P09/P10, confirming a consistent reporting pattern across the RedHatAI Llama-3.1 catalog."
P14,F2,RedHatAI/Meta-Llama-3-8B-Instruct-quantized.w8a16 (model card),https://huggingface.co/RedHatAI/Meta-Llama-3-8B-Instruct-quantized.w8a16,"HF README.md, fetched 2026-07-15","""achieves an average score of 68.69 ... whereas the unquantized model achieves 68.54""","OpenLLM v1 average: MMLU, ARC-Challenge (25-shot), GSM-8K (5-shot), HellaSwag, Winogrande, TruthfulQA",not stated; imputed via standard task sizes,"68.54 (Meta-Llama-3-8B-Instruct, unquantized)",+0.15 pp (w8a16: 68.69 vs unquantized: 68.54; table Recovery: 99.8%),No (no linked per-item outputs dataset found on this card),No,ae9b71174c8d86db5f556970065e8c170ae1890f0bea304ad6c1f4d15b203328,raw-verified (curl raw README.md),"Included on the same table-caption 'Recovery: 99.8%' basis as P11/P12; unlike P11 the quantized score is actually higher than baseline here, an even cleaner (non-borderline) instance since 99.8% clears the >=98 trigger with margin regardless of interpretation."
P15,F2,"Meta AI blog: ""Introducing quantized Llama models"" (Llama 3.2 1B/3B QLoRA + SpinQuant)",https://ai.meta.com/blog/meta-llama-quantized-lightweight-models/,"ai.meta.com blog post, fetched 2026-07-15 (original publication ~2024-10-24 per registration disclosure)","""achieves competitive accuracy to the BF16 model""",Not extractable as named benchmarks in raw text (results presented as bar-chart figures; page text references 'comprehensive evaluation' without a text-rendered benchmark list),not stated / not extractable,not stated as numeric value in extractable text (chart-image only),"not stated as numeric value in extractable text (chart-image only; page separately states model size decreased 56% and memory usage reduced 41% on average, which are size/memory, not accuracy, deltas)",No,No,81ba9d092c30e5f574c2cd489e752c90d304d03d21f3cd1e1243ead9e9772cd9,raw-verified (curl of live page; quote confirmed present verbatim in fetched HTML text),"This source was pre-identified in the registration's Section 1 disclosure. Verified independently here: fetched page's accuracy comparison is rendered as chart images ('Figure' references), so while the qualifying prose quote is confirmed raw-verified, the quantitative benchmark/baseline/delta fields could not be extracted from text and are marked not-extractable rather than imputed. A third party would need the linked ExecuTorch reproduction instructions or a screenshot-OCR pass to recover numbers."
X02,F2-excluded,Qwen/Qwen2.5-7B-Instruct-GPTQ-Int4 and Qwen/Qwen2.5-7B-Instruct-AWQ (model cards),https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-GPTQ-Int4 ; https://huggingface.co/Qwen/Qwen2.5-7B-Instruct-AWQ,"HF README.md, fetched 2026-07-15",N/A - excluded,N/A,N/A,N/A,N/A,N/A,N/A,b6458acf9d8e65b53d46c43ea23b0618a5e4aba6888204fb3c25bd81b2237272 (GPTQ-Int4 README) ; 0d578d3f0fc880ccaea80fcbfd49161b7c9b98e20e235b0a03608b9958c622af (AWQ README),"raw-verified (checked, did not qualify)","Both official Qwen cards contain no equivalence-framing prose or table themselves; they defer to https://qwen.readthedocs.io/en/latest/benchmark/quantization_benchmark.html, which returns HTTP 404. The only live archived version (qwen.readthedocs.io/en/v2.5/...) is explicitly flagged 'To be updated for Qwen2.5' and reports Qwen2-series (not Qwen2.5) raw score tables with no equivalence-framing language (no 'negligible'/'near-lossless'/'matches'/'recovery' wording) -- a plain numbers table does not meet the inclusion rule's requirement that the SOURCE assert equivalence in prose or a table caption. Excluded."
X03,F2-excluded,Mistral AI official quantized model cards,https://huggingface.co/mistralai,checked 2026-07-15,N/A - excluded,N/A,N/A,N/A,N/A,N/A,N/A,"3166974023134d972368b585d730fa5f70100873684f90a10a773b20e80b30ba (mistralai/Mistral-7B-Instruct-v0.3 README, checked as representative)","raw-verified (checked, did not qualify)","No official Mistral AI-published quantized model card (GPTQ/AWQ/FP8/W4A16) was found on the mistralai HuggingFace org as of 2026-07-15; quantized Mistral weights on HF are third-party (e.g. TheBloke), which fall outside F2's 'official' scope. Mistral-7B-Instruct-v0.3 base card itself contains no quantization-equivalence claim. Excluded from F2 pending discovery of an official Mistral quantized release."
X04,F2-excluded,meta-llama/Llama-3.2-1B-Instruct-QLORA_INT4_EO8 (gated model card),https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct-QLORA_INT4_EO8,checked 2026-07-15,N/A - inaccessible,N/A,N/A,N/A,N/A,N/A,N/A,"42dbc0512ca816a01fcbc13dec1b8c6c5ff6b0a2d17568940488aaf380a04ba1 (401 gated-access response body, not model content)","not verifiable (HTTP 401, gated repo requires authenticated HF access)",Meta's HF-hosted quantized Llama repos are gated behind license acceptance and returned HTTP 401 to an unauthenticated fetch. The equivalent public claim was instead sourced from Meta's public ai.meta.com blog post (P15). Logged so the gap is visible rather than silently skipped.
P16,F3,"vLLM Blog: ""The State of FP8 KV-Cache and Attention Quantization in vLLM"" (Kübler, Kurtić, Wilkinson, Bonanni, Goin, Marques, Budhathoki)",https://vllm-project.github.io/2026/04/22/fp8-kvcache.html,"Published/dateModified 2026-04-22 (per page JSON-LD metadata), fetched 2026-07-15","""is nearly lossless here, with sub-point differences across the aggregate scores""","AIME25, GPQA:Diamond, MATH500, LiveCodeBench-v6 (reasoning suite; Qwen3.5-27B, FP8 KV-cache + FP8 attention)","stated as repetitions, not dataset n: AIME25 x10 reps, LiveCodeBench-v6 x10 reps, GPQA:Diamond x5 reps, MATH500 x5 reps (underlying dataset sizes not stated in text; imputed standard sizes: AIME25=30, GPQA:Diamond=198, MATH500=500)",not stated as numeric values in extractable text (Figure 8 chart only),"""at most 0.7 points"" (prose); ""lowest recovery at 99% on AIME25 (BF16 model)"" (prose) -- no exact numeric table in extractable text",No (methodology and eval config described as reproducible via --kv-cache-dtype fp8 flag; no per-item outputs dataset linked),"No (repetition counts given, e.g. 5 or 10 repetitions per benchmark, but no variance/CI/significance test reported for the accuracy comparison itself)",a2c8c60d9276bc648db3da2cfa966df111d6ea2fe7c20a221ec5310427d25cde,raw-verified (curl of live page),"This is the highest-quality F3 source found: official, recent (2026-04-22), explicit trigger vocabulary ('nearly lossless', 'negligible accuracy impact', 'matches the baseline aggregate AUC'), and explicit repetition-count methodology (rare in this literature). Also separately reports weaker Qwen3-30B-A3B-Thinking-2507 results ('changes average accuracy by only about 1-2 points ... lowest recovery at 97%') and MRCR long-context AUC recovery figures (93-98% range) -- logged in extraction_notes, not separately rowed, to avoid inflating one source into many claims."
P17,F3,"NVIDIA TensorRT-LLM official docs blog: ""Speed up inference with SOTA quantization techniques in TRT-LLM""",https://github.com/NVIDIA/TensorRT-LLM/blob/main/docs/source/blogs/quantization-in-TRT-LLM.md,"TensorRT-LLM repo docs/blogs, main branch, fetched 2026-07-15","""unified quantization toolkit ... while maintaining model accuracy""","MMLU (Falcon-180B, FP8)","not stated; imputed (MMLU test set, standard n=14042)","70.4 (Falcon-180B, FP16)",-0.1 (FP8: 70.3 vs FP16: 70.4; table column 'MMLU Loss' = 0.14%),No,No,4654865c4c8a3b7e02f149f985094b804bad8fc3c1908562f827224dc1913198,raw-verified (curl raw .md from GitHub),"Table also reports FP8 MMLU Loss for LLaMA-v2-70B (0.87%), Falcon-40B (0.89%), and MPT-30B (0.21%), all <1pp and thus independently satisfying the 'explicit <=1pp delta framed as parity' trigger; Falcon-180B/FP8 chosen as the extracted row because it has the smallest stated loss (0.14%) and largest model. INT8-SQ and INT4-AWQ rows in the same table have larger, non-qualifying losses (up to 2.75%) and are not separately extracted as claims since the table's framing is about the FP8 configuration maintaining accuracy specifically."
X05,F3-excluded,llama.cpp official quantize tool README,https://github.com/ggml-org/llama.cpp/blob/master/tools/quantize/README.md,"master branch, fetched 2026-07-15",N/A - excluded,N/A,N/A,N/A,N/A,N/A,N/A,4dcc340a48ea558bb824aeb075d556eb4a1bc4c76f86953be80cb9dd16e976e1,"raw-verified (checked, did not qualify)","Official README states quantization loss is 'usually measured in Perplexity (ppl) and/or KL divergence' with no numbers, no trigger vocabulary, and no accompanying benchmark-accuracy claim (perplexity-only, and not even a specific perplexity number) -- fails inclusion rule 1's requirement that perplexity-only claims have an accompanying accuracy claim. Community-maintained GitHub Discussion #406 ('Perplexity (Quality of Generation) Scores') has more numeric perplexity detail but (a) is a discussion thread, not an official blog/docs page per the F3 frame definition, and (b) is likewise perplexity-only. Excluded from F3."
X06,F3-excluded,"NVIDIA Developer Blog: ""Optimizing LLMs for Performance and Accuracy with Post-Training Quantization""",https://developer.nvidia.com/blog/optimizing-llms-for-performance-and-accuracy-with-post-training-quantization/,"developer.nvidia.com blog, fetched 2026-07-15",N/A - out of frame,N/A,N/A,N/A,N/A,N/A,N/A,2cd360ea6cae9e097d318b84f0a19092eb04c8e3fe991694879d5242dfb3b036,"raw-verified (checked, out of frame)","Contains 'stable accuracy recovery' language but no extractable numeric table (chart-image only), and is a general NVIDIA/NeMo/Model-Optimizer post rather than a TensorRT-LLM-specific vendor post per F3's frame definition (F3 = 'vLLM, TensorRT-LLM, and llama.cpp official blog/docs pages'). Logged for completeness but not counted toward F3; the in-frame TensorRT-LLM docs blog (P17) was used instead."
