# Old-to-new commit hash mapping for the removal of
# docs/audit_sources_20260731.tar.gz from git history.
#
# Computed 2026-08-04 by git filter-branch --index-filter on a throwaway
# clone. NOT YET APPLIED to the working repository. Applying it requires
# the signed amendment drafted in AUDIT_AMENDMENT4_DRAFT_2026-08-04.md.
#
# Verified on the preview: 251 commits before and after, author/email/date/
# message identical for every commit, and the only tree difference across
# the whole range is the removed tarball.
#
# 987377a (tag v1.0.0) is an ANCESTOR of cc357db and is NOT in this table:
# the release tag and its Zenodo archive are outside the rewrite.
old_sha	new_sha	old_short	new_short	subject
377a686a36d883e3ca96132c513a6530ce1f2bea	ff191f3bd71c2f16ba2da49ce7f19d31c47bdcec	377a686	ff191f3	Sync AGENTS.md to CLAUDE.md: the in-image gate expectation was stale at 201
c4e6595875548c94e7ca3fbde0055ef16b522238	3c4d56cb97e2ef9ac0eecb5a447d2624772c83d3	c4e6595	3c4d56c	Add the rev-3 execution ledger
a332f01cefd913134e5705f002664b00b1fd8b67	c735a863087c981977ac34f1edcc88f27fb5f0df	a332f01	c735a86	Generate the rev-3 denominator ledger and make R14 executable
20a3b72d65eb4d2d09a459b17805a1015820a787	004f5d3db251ff96483a6e85ca8e3b8166ddddb8	20a3b72	004f5d3	Option A paperwork: the audited sources are identified, not redistributed
7a62b2743a1bcfa2ce11dcaca6770322492edad8	16a08042f8145a489c2cbb3de11a24e07443d38b	7a62b27	16a0804	Stale-claim and stale-pointer linter in check_paper.py
667a2518ac4a564af2c52e9c5ab8583bd388e57a	943eb29748035692f053f6e77d21575c85380ac0	667a251	943eb29	Make the source fingerprint fail on an added file, not only a changed one
4e47b446ac3df644e4616bcd94e4428801bc6a2c	382dda353abe5131c1216a2203eddd832507be02	4e47b44	382dda3	Add the atlas-revision golden test and the d* boundary coverage
af9ffd1c5341964745337707ee48d1f5f217efb2	cdb3239070e9d17649a2a97cd6c44cd49b8eef13	af9ffd1	cdb3239	Stop the linter suite from depending on the defects surviving
241713aab38cec30ec4c86f0904d154855289148	b12dbc6406ff0a8c93f9a2e8057c87fcd9a8894e	241713a	b12dbc6	Wire the rev-3 denominator macros through the manuscript narrative
02305046c180bb5048267106eaefbab45b66bc23	db764a117c43e614530df58d0570d1048722c0db	0230504	db764a1	Correct two stale docstrings and close two linter allowlist gaps
16389cb6621d3b3732fd290b78a9ec7954af9fe2	965e9431e22d68e066526fadbbef30176df26a8b	16389cb	965e943	Update the in-image gate expectation to 297 after this session's tests
53bcf5f53eff8abdab9b75a81c6a8bc9adcb7be0	7d47207cc779697892383e02121ca245a045e3a9	53bcf5f	7d47207	Record where each equivalence claim is written, and what that costs
a216cf73d1631ad8cce20b3384137da50c04f0a4	f877e2f2912f8aa988243b8279130e03997bd1d4	a216cf7	f877e2f	Regenerate READING_COPY.md at 53bcf5f
38f2a0fcd9c2ddb4eb9a1b5c87a1a48064d1d641	68e9b347e9069454fd0a72776897df2f5a329cc3	38f2a0f	68e9b34	Session handoff for 2026-08-03
2857cd06f275894f2b2830ff64d6ce05c970e47f	46fcf871a502489768c5be950e49ae578543d699	2857cd0	46fcf87	Draft Amendment 3 for signature: R09 and R17 remain eligible
caa87a473f89b235168379d3a4e9820c1ed46e13	524beb5052c50a99fe708d3d83822c3151117a25	caa87a4	524beb5	Roadmap from here to arXiv and TMLR, with verified completion status
c5eca1ef60f3404691fadb0e773bff43369c76da	b657be22136fc3bb123d60c60a5ac2ad3ab4403e	c5eca1e	b657be2	Bring the blog draft's audit numbers to rev-3 and record the withdrawals
4df969c76d484ac94585b0f0af76a1f382c984ec	043c09433154b84b47d4c61e095aaad42f37794d	4df969c	043c094	Mark OUTLINE.md as the planning record it is, and stop the linter failing on it
adaf2632da71b815bcb8ed45f9982effef974f84	bf1de764a2ab3972003ef86d5f1c4606d5dd6666	adaf263	bf1de76	Redraft Amendment 3's Determination: the rule is silent, so the tie breaks against the author
0ca1b2ad428bd9d74aafe2aba6c0fb61a99f6364	a43b3254197f3d571903f05cda6ba871f51845ca	0ca1b2a	a43b325	Amendment 3 SIGNED and appended: R09 and R17 remain eligible
115bdbb4e03b88e36c2972300e13c387ad4d3a9e	28616cc9d02e74801c49d1ac8da2775a86111771	115bdbb	28616cc	Regenerate READING_COPY.md at 0ca1b2a
633cfe3dc3b9885b5c2395c887dd87d269939a44	4505773022af22216388dff39f4cb6ca521acb57	633cfe3	4505773	Correct the roadmap: three items were carried as open and are done
b8fb84d1cf5d6a554ff1a973cb180b58a6adc3bb	68bad8e2998f791347a1ae98461ea617325e1301	b8fb84d	68bad8e	Ignore paper build bundles under docs/ rather than committing them
e0cf37d24b22f9202d40c9c7c83af3ab8ca73d2f	f212ff97420d5ef03f17fd823dac1e48e05138cb	e0cf37d	f212ff9	Ignore agent worktree checkouts so the source fingerprint can be refreshed
faa4f38cc809ec7b7643edcd87adeab12f6bebae	a5381d911273575c016737389e077649a23f0d39	faa4f38	a5381d9	Refresh the source fingerprint, eight commits behind since 2e9c411
9bac0c56bdf3d4252b5ff6166cb4989fe40bbcd2	5ed3ef9763723d2f3a759262e13492f058ad53cb	9bac0c5	5ed3ef9	Rewrite the README as project documentation, not a usage note
bcc1afcf827c05574aee81271f8e3e74407f3256	0ad025b4c9047d16411d9facdfa8374c3309b2b7	bcc1afc	0ad025b	Refresh freeze after the README rewrite
8aafe22824caca1ebe7529442120904ca92d0218	4a8a83f1143f06271d779d36b75dd7e9205fa329	8aafe22	4a8a83f	Export the two planning helpers at the top level
83d2b6cbe10c5f120b3c3ccc6dee2c8fbaab389e	350e0747d15efd7114d9502c65abe154208a6886	83d2b6c	350e074	Refresh freeze after the top-level export change
